frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
46,30,15,0.000,-1.000,1.000,1035.6,0002;0004;0005;0006;002;004;013;014;019;028;034;039;042;043;047;048;049;050;051;054;055;056;064;070;071;074;076;077;095;wuran
48,35,19,-1.000,0.000,1.000,1050.8,0002;0004;0005;0006;002;003;004;013;014;016;019;028;029;034;035;039;042;043;047;048;049;050;051;054;055;056;064;070;071;074;076;077;095;wuran;xuancai
50,28,11,0.000,-1.000,1.000,1058.7,0002;0004;0005;0006;004;013;014;019;028;034;035;039;042;046;047;048;050;051;054;055;064;070;071;074;077;095;wuran;xuancai
52,29,5,0.000,-1.000,1.000,1043.9,0002;0004;0005;0006;004;013;014;028;034;035;039;042;046;047;048;050;051;054;055;056;064;070;071;074;077;091;095;wuran;xuancai
54,33,10,-1.000,0.000,1.000,1035.3,0002;0004;0005;0006;002;004;013;014;019;021;022;028;034;035;039;042;046;047;048;050;051;054;055;056;064;070;074;077;080;091;095;wuran;xuancai
56,27,9,0.000,-1.000,1.000,1041.8,0002;0004;0005;0006;013;014;019;028;034;035;039;042;046;047;048;050;051;054;055;064;070;074;077;080;095;wuran;xuancai
58,28,5,0.000,-1.000,1.000,1035.8,0002;0004;0005;0006;002;013;014;028;034;035;039;042;046;047;048;050;051;054;055;056;064;070;074;077;088;095;wuran;xuancai
60,31,0,0.000,0.000,0.000,1046.9,0002;0003;0004;0005;0006;004;013;016;018;019;028;034;035;039;042;047;048;050;054;055;064;070;071;074;077;082;087;088;095;wuran;xuancai
62,34,16,-1.500,-1.000,1.803,1050.6,0002;0003;0004;0005;0006;004;013;014;016;018;019;028;034;035;039;042;047;048;049;050;054;055;056;064;070;071;074;082;087;088;091;095;wuran;xuancai
64,32,4,0.000,1.000,1.000,1111.9,0002;0003;0004;0005;0006;004;013;014;016;018;028;034;035;039;042;047;048;050;054;055;056;064;070;071;074;082;087;088;091;095;wuran;xuancai
66,32,6,0.000,-1.000,1.000,1124.1,0002;0003;0004;0005;0006;004;013;014;016;018;028;034;035;039;042;046;047;048;050;054;055;064;070;074;077;082;087;088;091;095;wuran;xuancai
68,35,9,0.000,-1.000,1.000,1072.2,0002;0003;0004;0005;0006;004;013;014;016;018;022;028;034;035;039;042;046;047;048;049;050;054;055;056;064;070;071;074;077;082;088;091;095;wuran;xuancai
70,31,20,-1.000,0.000,1.000,1100.0,0002;0003;0005;0006;004;013;014;016;018;022;028;034;035;039;042;046;047;048;050;054;055;056;064;070;074;082;088;091;095;wuran;xuancai
72,29,16,0.000,-1.000,1.000,1049.5,0002;0003;0005;0006;004;006;013;014;018;028;034;035;039;042;047;049;050;054;055;056;064;070;074;082;088;091;095;wuran;xuancai
74,29,0,0.000,0.000,0.000,1062.0,0002;0003;0005;0006;004;013;014;018;028;034;035;039;042;047;049;050;054;055;056;064;070;074;080;082;088;091;095;wuran;xuancai
76,29,7,0.000,-1.000,1.000,1069.7,0002;0003;0005;0006;004;013;014;018;028;034;035;039;042;047;049;050;054;055;056;064;070;071;074;082;088;091;095;wuran;xuancai
78,34,7,-1.000,-1.000,1.414,1080.9,0002;0003;0004;0005;0006;002;004;013;014;018;022;028;034;035;039;042;047;049;050;051;054;055;056;064;070;071;074;077;082;088;091;095;wuran;xuancai
80,34,0,0.000,0.000,0.000,1049.7,0002;0003;0004;0005;0006;002;004;013;014;018;022;028;034;035;039;042;046;047;049;050;051;054;055;056;064;070;071;074;077;082;088;091;095;wuran
82,31,5,1.000,0.000,1.000,1073.2,0002;0003;0004;0005;0006;002;004;013;014;018;028;034;035;039;042;047;049;050;051;054;056;064;070;074;077;080;082;088;091;095;wuran
84,30,7,1.000,0.000,1.000,1058.1,0002;0003;0004;0005;0006;004;013;014;017;018;028;034;039;042;047;049;050;051;054;055;064;070;071;074;077;082;088;091;095;wuran
86,29,4,-1.000,-8.000,8.062,1064.8,0002;0003;0004;0005;0006;004;013;014;017;018;028;039;042;046;047;049;050;051;054;055;056;064;070;074;082;088;091;095;wuran
88,32,10,-0.500,-1.000,1.118,1059.6,0002;0003;0004;0005;0006;004;013;014;017;018;019;028;034;039;042;046;047;049;050;051;054;055;056;064;070;071;074;081;082;088;095;wuran
90,31,0,0.000,0.000,0.000,1046.9,0002;0003;0004;0005;0006;004;013;014;017;018;019;028;034;039;042;046;047;049;050;051;054;055;056;064;070;074;081;082;088;095;wuran
92,32,10,0.000,-1.000,1.000,1046.4,0002;0003;0004;0005;0006;002;004;013;014;017;018;028;034;035;039;042;046;047;049;050;054;055;056;064;070;074;081;082;088;091;095;wuran
94,34,6,-1.000,-1.000,1.414,1109.1,0002;0003;0004;0005;0006;002;004;013;014;017;018;020;022;028;034;039;042;043;046;047;050;054;055;056;057;064;070;074;080;081;082;088;095;wuran
96,34,5,-1.000,0.000,1.000,1079.2,0002;0003;0004;0005;0006;002;004;013;014;017;018;020;022;028;034;039;042;043;046;047;050;054;055;056;057;064;070;074;080;081;082;088;095;wuran
98,34,9,0.000,-1.000,1.000,1133.9,0002;0003;0004;0005;0006;002;004;013;017;018;022;028;034;039;042;043;046;047;050;054;055;056;057;064;070;071;074;080;081;082;087;088;095;wuran
100,33,6,0.000,-1.000,1.000,1073.5,0002;0003;0004;0005;0006;004;013;016;017;018;022;028;034;035;039;042;043;047;054;055;056;057;064;070;071;074;081;082;087;088;091;095;wuran
102,32,12,-1.000,0.000,1.000,1049.1,0002;0003;0004;0005;0006;004;013;016;017;018;019;021;022;028;034;039;042;043;047;050;054;055;057;064;070;071;074;081;082;088;095;wuran
104,31,18,0.000,-1.000,1.000,1032.8,0002;0003;0004;0005;0006;004;013;017;018;022;028;034;035;039;042;043;047;050;054;055;056;057;064;070;071;074;081;082;088;095;wuran
106,31,0,0.000,0.000,0.000,1040.5,0002;0003;0004;0005;0006;004;013;017;018;022;028;034;035;039;042;043;047;049;050;054;055;057;064;070;071;074;081;082;088;095;wuran
108,34,6,0.000,-1.000,1.000,1022.5,0002;0004;0005;0006;004;013;017;018;019;022;028;034;035;039;042;043;046;047;048;049;050;054;055;057;064;070;071;074;081;082;088;091;095;wuran
110,29,5,-1.000,-1.000,1.414,1035.1,0002;0004;0005;0006;004;006;013;017;018;021;022;028;034;035;042;043;047;048;050;054;057;064;070;071;074;081;082;095;wuran
112,32,8,0.000,-1.000,1.000,1024.0,0002;0004;0005;0006;004;008;013;014;017;018;022;028;034;035;042;043;046;047;048;050;054;055;057;064;070;071;074;081;082;091;095;wuran
